"AUC","Master.ID","Cell.Line"
13.39,23256,"CAS1"
14.385,25036,"CAS1"
15.57,26870,"CAS1"
13.51,26914,"CAS1"
13.149,26972,"CAS1"
12.43,27894,"CAS1"
13.034,28172,"CAS1"
14.891,29985,"CAS1"
14.245,32372,"CAS1"
13.537,33166,"CAS1"
6.8326,36599,"CAS1"
6.8319,37190,"CAS1"
14.133,39782,"CAS1"
15.926,44511,"CAS1"
11.516,46792,"CAS1"
13.196,48589,"CAS1"
15.967,50140,"CAS1"
13,50715,"CAS1"
14.835,50727,"CAS1"
15.841,50753,"CAS1"
12.701,52123,"CAS1"
13.588,52430,"CAS1"
13.527,52576,"CAS1"
14.873,58472,"CAS1"
15,61775,"CAS1"
12.153,142931,"CAS1"
13.872,345041,"CAS1"
13.008,348997,"CAS1"
13.845,375256,"CAS1"
9.4821,375264,"CAS1"
14.757,375354,"CAS1"
13.252,375366,"CAS1"
13.652,375447,"CAS1"
13.778,375487,"CAS1"
14.115,375496,"CAS1"
12.758,375564,"CAS1"
12.657,375594,"CAS1"
16.133,375596,"CAS1"
15.634,397964,"CAS1"
16.373,402775,"CAS1"
12.366,404452,"CAS1"
11.728,404566,"CAS1"
15.42,410270,"CAS1"
14.277,410703,"CAS1"
15.414,414479,"CAS1"
16.086,415688,"CAS1"
14.58,417262,"CAS1"
14.929,429535,"CAS1"
15.892,437263,"CAS1"
15.286,437906,"CAS1"
16.88,438564,"CAS1"
14.793,438691,"CAS1"
14.814,438776,"CAS1"
15.599,442141,"CAS1"
14.355,447732,"CAS1"
12.729,449707,"CAS1"
15.927,452570,"CAS1"
16.862,463198,"CAS1"
14.496,596868,"CAS1"
14.582,600054,"CAS1"
18.509,608062,"CAS1"
12.553,18311,"KPL1"
14.002,23256,"KPL1"
13.708,25036,"KPL1"
13.701,25393,"KPL1"
15.789,26870,"KPL1"
13.315,26914,"KPL1"
12.984,26972,"KPL1"
14.077,27894,"KPL1"
15.916,28172,"KPL1"
16.074,29985,"KPL1"
14.261,32372,"KPL1"
13.791,33166,"KPL1"
13.114,36599,"KPL1"
15.294,37190,"KPL1"
11.934,44503,"KPL1"
15.283,44511,"KPL1"
14.782,45093,"KPL1"
12.383,46792,"KPL1"
14.84,48589,"KPL1"
16.078,50140,"KPL1"
14.324,50715,"KPL1"
15.285,50727,"KPL1"
13.25,50747,"KPL1"
13.394,50753,"KPL1"
14.819,52123,"KPL1"
14.048,52430,"KPL1"
13.946,52576,"KPL1"
14.292,58472,"KPL1"
14.21,61775,"KPL1"
13.361,142931,"KPL1"
14.527,345041,"KPL1"
16.109,348997,"KPL1"
13.882,350548,"KPL1"
12.767,375256,"KPL1"
11.39,375264,"KPL1"
15.633,375354,"KPL1"
14.383,375366,"KPL1"
13.114,375390,"KPL1"
14.336,375435,"KPL1"
14.277,375447,"KPL1"
14.526,375487,"KPL1"
17.771,375496,"KPL1"
13.055,375564,"KPL1"
14.486,375594,"KPL1"
15.875,375596,"KPL1"
15.49,397964,"KPL1"
16.763,402775,"KPL1"
12.254,404452,"KPL1"
11.944,404566,"KPL1"
15.859,410270,"KPL1"
13.645,410703,"KPL1"
14.997,414479,"KPL1"
14.486,415688,"KPL1"
12.904,416842,"KPL1"
14.361,417262,"KPL1"
14.418,429535,"KPL1"
15.866,437263,"KPL1"
15.844,437906,"KPL1"
16.094,438564,"KPL1"
14.652,438691,"KPL1"
15.644,438776,"KPL1"
14.729,442141,"KPL1"
14.661,447732,"KPL1"
14.186,449707,"KPL1"
16.517,452570,"KPL1"
15.727,463198,"KPL1"
12.853,596868,"KPL1"
14.359,600054,"KPL1"
15.681,608062,"KPL1"
14.174,18311,"MKN1"
12.862,23256,"MKN1"
12.986,25036,"MKN1"
13.179,25393,"MKN1"
16.435,26870,"MKN1"
14.576,26914,"MKN1"
13.234,26972,"MKN1"
11.77,27894,"MKN1"
13.493,28172,"MKN1"
15.556,29985,"MKN1"
12.959,32372,"MKN1"
13.309,33166,"MKN1"
9.1502,36599,"MKN1"
16.074,37190,"MKN1"
13.426,39782,"MKN1"
13.647,44503,"MKN1"
14.932,44511,"MKN1"
14.155,45093,"MKN1"
12.961,46792,"MKN1"
12.632,48589,"MKN1"
15.605,50140,"MKN1"
13.304,50715,"MKN1"
12.626,50727,"MKN1"
12.35,50747,"MKN1"
14.449,50753,"MKN1"
13.651,52123,"MKN1"
13.889,52430,"MKN1"
14.35,52576,"MKN1"
13.753,58472,"MKN1"
14.576,61775,"MKN1"
14.043,142931,"MKN1"
14.963,345041,"MKN1"
13.675,348997,"MKN1"
14.355,350548,"MKN1"
12.647,375256,"MKN1"
11.42,375264,"MKN1"
14.009,375354,"MKN1"
14.736,375366,"MKN1"
13.215,375390,"MKN1"
14.655,375435,"MKN1"
13.891,375447,"MKN1"
14.452,375487,"MKN1"
13.992,375496,"MKN1"
12.787,375564,"MKN1"
13.079,375594,"MKN1"
16.516,375596,"MKN1"
15.845,397964,"MKN1"
16.33,402775,"MKN1"
13.503,404452,"MKN1"
10.712,404566,"MKN1"
15.742,410270,"MKN1"
14.399,410703,"MKN1"
15,414479,"MKN1"
15.624,415688,"MKN1"
13.441,416842,"MKN1"
14.509,417262,"MKN1"
14.736,429535,"MKN1"
16.406,437263,"MKN1"
15.876,437906,"MKN1"
13.072,438564,"MKN1"
14.344,438691,"MKN1"
15.629,438776,"MKN1"
16.053,442141,"MKN1"
14.88,447732,"MKN1"
14.18,449707,"MKN1"
16.194,452570,"MKN1"
15,463198,"MKN1"
14.293,596868,"MKN1"
14.461,600054,"MKN1"
16.742,608062,"MKN1"
12.098,18311,"253JBV"
14.157,23256,"253JBV"
14.362,25036,"253JBV"
14.365,26870,"253JBV"
13.885,26914,"253JBV"
14.538,27894,"253JBV"
10.09,28172,"253JBV"
13.291,32372,"253JBV"
11.03,32653,"253JBV"
13.033,33166,"253JBV"
8.926,36599,"253JBV"
2.6835,37190,"253JBV"
12.833,44503,"253JBV"
14.714,44511,"253JBV"
13.362,48589,"253JBV"
14.345,50140,"253JBV"
14.62,50715,"253JBV"
15,50727,"253JBV"
14.569,50753,"253JBV"
10.275,52123,"253JBV"
12.951,52430,"253JBV"
15,52576,"253JBV"
13.93,58455,"253JBV"
13.437,58472,"253JBV"
15.776,61775,"253JBV"
15,142931,"253JBV"
13.768,345041,"253JBV"
11.771,348997,"253JBV"
12.386,375256,"253JBV"
6.4696,375264,"253JBV"
15.561,375366,"253JBV"
13.806,375390,"253JBV"
16.634,375435,"253JBV"
12.55,375447,"253JBV"
14.805,375487,"253JBV"
13.577,375496,"253JBV"
13.401,375560,"253JBV"
13.084,375564,"253JBV"
12.031,375594,"253JBV"
16.314,397964,"253JBV"
15.678,402775,"253JBV"
14.064,404452,"253JBV"
10.698,404566,"253JBV"
14.42,410270,"253JBV"
17.781,410703,"253JBV"
18.33,414479,"253JBV"
18.198,415688,"253JBV"
15.75,416842,"253JBV"
17.754,417262,"253JBV"
18.569,429535,"253JBV"
17.467,437263,"253JBV"
16.219,437906,"253JBV"
17.448,438691,"253JBV"
13.738,438776,"253JBV"
14.419,442141,"253JBV"
16.589,447732,"253JBV"
15,449707,"253JBV"
15,463198,"253JBV"
17.483,600054,"253JBV"
12.364,18311,"BFTC905"
14.172,25036,"BFTC905"
15,26870,"BFTC905"
13.655,26914,"BFTC905"
13.104,26972,"BFTC905"
11.227,28172,"BFTC905"
14.55,29985,"BFTC905"
13.509,32372,"BFTC905"
11.24,32653,"BFTC905"
12.552,33166,"BFTC905"
7.8794,36599,"BFTC905"
5.9265,37190,"BFTC905"
13.205,39782,"BFTC905"
10.392,44503,"BFTC905"
17.49,44511,"BFTC905"
11.843,46792,"BFTC905"
13.334,48589,"BFTC905"
13.474,50715,"BFTC905"
16.925,50727,"BFTC905"
17.525,50753,"BFTC905"
13.984,52430,"BFTC905"
13.528,58455,"BFTC905"
15,61775,"BFTC905"
10.868,348997,"BFTC905"
12.626,375256,"BFTC905"
8.9266,375264,"BFTC905"
16.746,375366,"BFTC905"
12.75,375447,"BFTC905"
16.262,375487,"BFTC905"
13.756,375496,"BFTC905"
15.25,375560,"BFTC905"
11.263,375594,"BFTC905"
15,397964,"BFTC905"
16.169,402775,"BFTC905"
16.58,404452,"BFTC905"
9.9713,404566,"BFTC905"
18.199,415688,"BFTC905"
17.76,416842,"BFTC905"
16.628,417262,"BFTC905"
16.974,429535,"BFTC905"
15,437263,"BFTC905"
15,437906,"BFTC905"
8.1129,438564,"BFTC905"
17.681,438691,"BFTC905"
15.761,438776,"BFTC905"
